Data;Meta;Piso;Teto;IPCA
10/2013;0,045;0,025;0,065;5,84
11/2013;0,045;0,025;0,065;5,77
12/2013;0,045;0,025;0,065;5,91
01/2014;0,045;0,025;0,065;5,59
02/2014;0,045;0,025;0,065;5,68
03/2014;0,045;0,025;0,065;6,15
04/2014;0,045;0,025;0,065;6,28
05/2014;0,045;0,025;0,065;6,37
06/2014;0,045;0,025;0,065;6,52
07/2014;0,045;0,025;0,065;6,5
08/2014;0,045;0,025;0,065;6,51
09/2014;0,045;0,025;0,065;6,75
10/2014;0,045;0,025;0,065;6,59
11/2014;0,045;0,025;0,065;6,56
12/2014;0,045;0,025;0,065;6,41
01/2015;0,045;0,025;0,065;7,14
02/2015;0,045;0,025;0,065;7,7
03/2015;0,045;0,025;0,065;8,13
04/2015;0,045;0,025;0,065;8,17
05/2015;0,045;0,025;0,065;8,47
06/2015;0,045;0,025;0,065;8,89
07/2015;0,045;0,025;0,065;9,56
08/2015;0,045;0,025;0,065;9,53
09/2015;0,045;0,025;0,065;9,49
10/2015;0,045;0,025;0,065;9,93
11/2015;0,045;0,025;0,065;10,48
12/2015;0,045;0,025;0,065;10,67
01/2016;0,045;0,025;0,065;10,71
02/2016;0,045;0,025;0,065;10,36
03/2016;0,045;0,025;0,065;9,39
04/2016;0,045;0,025;0,065;9,28
05/2016;0,045;0,025;0,065;9,32
06/2016;0,045;0,025;0,065;8,84
07/2016;0,045;0,025;0,065;8,74
08/2016;0,045;0,025;0,065;8,97
09/2016;0,045;0,025;0,065;8,48
10/2016;0,045;0,025;0,065;7,87
11/2016;0,045;0,025;0,065;6,99
12/2016;0,045;0,03;0,06;6,29
01/2017;0,045;0,03;0,06;5,35
02/2017;0,045;0,03;0,06;4,76
03/2017;0,045;0,03;0,06;4,57
04/2017;0,045;0,03;0,06;4,08
05/2017;0,045;0,03;0,06;3,6
06/2017;0,045;0,03;0,06;3
07/2017;0,045;0,03;0,06;2,71
08/2017;0,045;0,03;0,06;2,46
09/2017;0,045;0,03;0,06;2,54
10/2017;0,045;0,03;0,06;2,7
11/2017;0,045;0,03;0,06;2,8
12/2017;0,045;0,03;0,06;2,95
01/2018;0,045;0,03;0,06;2,86
02/2018;0,045;0,03;0,06;2,84
03/2018;0,045;0,03;0,06;2,68
04/2018;0,045;0,03;0,06;2,76
05/2018;0,045;0,03;0,06;2,86
06/2018;0,045;0,03;0,06;4,39
07/2018;0,045;0,03;0,06;4,48
08/2018;0,045;0,03;0,06;4,19
09/2018;0,045;0,03;0,06;4,53
10/2018;0,045;0,03;0,06;4,56
11/2018;0,045;0,03;0,06;4,05
12/2018;0,045;0,03;0,06;3,75
01/2019;0,0425;0,0275;0,0575;3,78
02/2019;0,0425;0,0275;0,0575;3,89
03/2019;0,0425;0,0275;0,0575;4,58
04/2019;0,0425;0,0275;0,0575;4,94
05/2019;0,0425;0,0275;0,0575;4,66
06/2019;0,0425;0,0275;0,0575;3,37
07/2019;0,0425;0,0275;0,0575;3,22
08/2019;0,0425;0,0275;0,0575;3,43
09/2019;0,0425;0,0275;0,0575;2,89
10/2019;0,0425;0,0275;0,0575;2,54
11/2019;0,0425;0,0275;0,0575;3,27
12/2019;0,0425;0,0275;0,0575;4,31
01/2020;0,04;0,025;0,055;4,19
02/2020;0,04;0,025;0,055;4,01
03/2020;0,04;0,025;0,055;3,3
04/2020;0,04;0,025;0,055;2,4
05/2020;0,04;0,025;0,055;1,88
06/2020;0,04;0,025;0,055;2,13
07/2020;0,04;0,025;0,055;2,31
08/2020;0,04;0,025;0,055;2,44
09/2020;0,04;0,025;0,055;3,14
10/2020;0,04;0,025;0,055;3,92
11/2020;0,04;0,025;0,055;4,31
12/2020;0,04;0,025;0,055;4,52
01/2021;0,0375;0,0225;0,0525;4,56
02/2021;0,0375;0,0225;0,0525;5,2
03/2021;0,0375;0,0225;0,0525;6,1
04/2021;0,0375;0,0225;0,0525;6,76
05/2021;0,0375;0,0225;0,0525;8,06
06/2021;0,0375;0,0225;0,0525;8,35
07/2021;0,0375;0,0225;0,0525;8,99
08/2021;0,0375;0,0225;0,0525;9,68
09/2021;0,0375;0,0225;0,0525;10,25
10/2021;0,0375;0,0225;0,0525;10,67
