"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jan 08","26,20","22,58","37,57","22,11","-","16,44%"
"Fev 08","26,54","25,66","29,70","21,64","-","1,30%"
"Mar 08","25,61","27,54","35,60","23,30","-","-3,50%"
"Abr 08","20,79","25,61","25,61","19,21","-","-18,82%"
"Mai 08","17,83","20,78","20,95","15,82","-","-14,24%"
"Jun 08","23,95","17,83","24,56","17,83","-","34,32%"
"Jul 08","22,94","25,14","30,81","20,73","-","-4,22%"
"Ago 08","20,65","22,66","23,86","18,64","-","-9,98%"
"Set 08","39,39","20,65","48,40","20,47","-","90,75%"
"Out 08","59,89","39,39","89,53","39,39","-","52,04%"
"Nov 08","55,28","60,17","81,48","44,25","-","-7,70%"
"Dez 08","40,00","60,47","68,60","37,96","-","-27,64%"
"Jan 09","44,84","39,58","57,36","36,88","-","12,10%"
"Fev 09","46,35","49,42","53,16","40,73","-","3,37%"
"Mar 09","44,14","49,96","53,25","38,79","-","-4,77%"
"Abr 09","36,50","45,42","45,60","33,68","-","-17,31%"
"Mai 09","28,92","36,50","36,88","26,57","-","-20,77%"
"Jun 09","26,35","28,70","32,77","25,02","-","-8,89%"
"Jul 09","25,92","25,73","33,05","23,00","-","-1,63%"
"Ago 09","26,01","25,92","28,39","23,68","-","0,35%"
"Set 09","25,61","26,01","29,57","22,19","-","-1,54%"
"Out 09","30,69","25,98","31,59","20,10","-","19,84%"
"Nov 09","24,51","30,70","31,84","20,05","-","-20,14%"
"Dez 09","21,68","24,51","24,51","19,25","-","-11,55%"
"Jan 10","24,62","21,68","28,01","16,86","-","13,56%"
"Fev 10","19,50","24,33","29,22","19,32","-","-20,80%"
"Mar 10","17,59","19,93","19,94","16,17","-","-9,79%"
"Abr 10","22,05","17,01","23,20","15,23","-","25,36%"
"Mai 10","32,07","22,41","48,20","19,61","-","45,44%"
"Jun 10","34,54","34,87","37,38","22,87","-","7,70%"
"Jul 10","23,50","34,41","37,58","21,86","-","-31,96%"
"Ago 10","26,05","23,07","28,92","21,36","-","10,85%"
"Set 10","23,70","25,13","25,13","20,85","-","-9,02%"
"Out 10","21,20","22,90","24,34","17,90","-","-10,55%"
"Nov 10","23,54","21,65","23,84","17,76","-","11,04%"
"Dez 10","17,75","21,19","21,43","15,40","-","-24,60%"
"Jan 11","19,53","17,94","20,08","15,37","-","10,03%"
"Fev 11","18,35","18,59","23,22","14,86","-","-6,04%"
"Mar 11","17,74","17,63","31,28","17,07","-","-3,32%"
"Abr 11","14,75","16,68","19,07","14,27","-","-16,85%"
"Mai 11","15,45","15,07","20,03","15,07","-","4,75%"
"Jun 11","16,52","15,95","24,65","15,88","-","6,93%"
"Jul 11","25,25","16,06","25,94","15,12","-","52,85%"
"Ago 11","31,62","22,63","48,00","22,46","-","25,23%"
"Set 11","42,96","31,91","43,87","30,43","-","35,86%"
"Out 11","29,96","44,25","46,88","24,44","-","-30,26%"
"Nov 11","27,80","36,03","37,53","27,03","-","-7,21%"
"Dez 11","23,40","27,63","30,91","20,34","-","-15,83%"
"Jan 12","19,44","22,95","23,73","16,80","-","-16,92%"
"Fev 12","18,43","18,68","21,98","16,10","-","-5,20%"
"Mar 12","15,50","18,02","21,24","13,66","-","-15,90%"
"Abr 12","17,15","16,35","21,06","15,02","-","10,65%"
"Mai 12","24,06","17,27","25,46","16,01","-","40,29%"
"Jun 12","17,08","25,87","27,73","16,77","-","-29,01%"
"Jul 12","18,93","17,62","21,00","15,45","-","10,83%"
"Ago 12","17,47","18,80","19,25","13,30","-","-7,71%"
"Set 12","15,73","18,65","18,96","13,51","-","-9,96%"
"Out 12","18,60","16,03","19,65","13,67","-","18,25%"
"Nov 12","15,87","17,77","19,40","14,77","-","-14,68%"
"Dez 12","18,02","15,81","23,23","15,41","-","13,55%"
"Jan 13","14,28","15,24","15,93","12,29","-","-20,75%"
"Fev 13","15,51","13,37","19,28","12,08","-","8,61%"
"Mar 13","12,70","16,10","16,82","11,05","-","-18,12%"
"Abr 13","13,52","13,46","18,20","11,99","-","6,46%"
"Mai 13","16,30","13,88","16,35","12,26","-","20,56%"
"Jun 13","16,86","16,40","21,91","14,96","-","3,44%"
"Jul 13","13,45","16,90","17,32","12,07","-","-20,23%"
"Ago 13","17,01","12,89","17,81","11,83","-","26,47%"
"Set 13","16,60","16,47","17,49","12,52","-","-2,41%"
"Out 13","13,75","16,31","21,34","12,34","-","-17,17%"
"Nov 13","13,70","13,46","14,14","11,99","-","-0,36%"
"Dez 13","13,72","13,91","16,75","11,69","-","0,15%"
"Jan 14","18,41","14,32","18,99","11,81","-","34,18%"
"Fev 14","14,00","18,57","21,48","13,44","-","-23,95%"
"Mar 14","13,88","16,47","18,22","13,46","-","-0,86%"
"Abr 14","13,41","13,43","17,85","12,60","-","-3,39%"
"Mai 14","11,40","13,64","14,49","11,32","-","-14,99%"
"Jun 14","11,57","11,69","12,89","10,34","-","1,49%"
"Jul 14","16,95","11,28","17,11","10,28","-","46,50%"
"Ago 14","11,98","16,67","17,57","11,24","-","-29,32%"
"Set 14","16,31","12,32","17,08","11,52","-","36,14%"
"Out 14","14,03","16,44","31,06","13,72","-","-13,98%"
"Nov 14","13,33","14,41","15,93","11,91","-","-4,99%"
"Dez 14","19,20","14,16","25,20","11,53","-","44,04%"
"Jan 15","20,97","17,76","23,43","15,52","-","9,22%"
"Fev 15","13,34","20,89","22,81","12,86","-","-36,39%"
"Mar 15","15,29","13,90","17,19","12,54","-","14,62%"
"Abr 15","14,55","15,32","16,66","12,12","-","-4,84%"
"Mai 15","13,84","13,98","16,36","11,82","-","-4,88%"
"Jun 15","18,23","13,92","19,80","11,93","-","31,72%"
"Jul 15","12,12","16,63","20,05","11,71","-","-33,52%"
"Ago 15","28,43","12,85","53,29","10,88","-","134,57%"
"Set 15","24,50","31,91","33,82","17,87","-","-13,82%"
